№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
120328,ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ на ПРАВЕ ХОЗЯЙСТВЕННОГО ВВЕДЕНИЯ «ЦЕНТР ПЕРВИЧНОЙ МЕДИКО-САНИТАРНОЙ ПОМОЩИ» ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ,990640001509,,
120327,"ГОСУДАРСТВЕННОГО КОММУНАЛЬНОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР ДЕРМАТОЛОГИИ И ПРОФИЛАКТИКИ БОЛЕЗНЕЙ, ПЕРЕДАЮЩИХСЯ ПОЛОВЫМ ПУТЕМ ГОРОДА АСТАНЫ"" АКИМАТА ГОРОДА АСТАНЫ",990640000649,,
120326,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ СПЕЦИАЛИЗИРОВАННЫЙ МЕДИЦИНСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990440001713,,
120325,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА ГОРОДА УСТЬ-КАМЕНОГОРСКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990440001620,,
120324,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР НАРКОЛОГИИ И ПСИХОТЕРАПИИ"" АКИМАТА ГОРОДА АСТАНЫ",990640000650,,
120321,"АЛМАТЫ ҚАЛАСЫ ДЕНСАУЛЫҚ САҚТАУ БАСҚАРМАСЫНЫҢ ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ ""№ 17 ҚАЛАЛЫҚ ЕМХАНА"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ КӘСІПОРНЫ",990640000184,,
120318,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИКО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС ""АК-КАИН""",990540004470,,
120317,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ.",990540001139,,
120316,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЗЕРНЫЙ ЦЕНТР КОНОВАЛОВА""",990540000705,,
120314,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""МИРАС""",990440006760,,
120313,КГП на ПХВ «Городская Поликлиника №2» КГУ «УЗ Акимата СКО»,990440005089,,
120312,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАМЛЮТСКАЯ РАЙОННАЯ БОЛЬНИЦА"" КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",990440005009,,
120311,"КГП на ПХВ ""Реабилитационный центр ""Каменское плато""",990440002133,,
120310,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Центр по профилактике и борьбе со СПИД"" Управления общественного здравоохранения города Алматы",990440001849,,
120309,"КГП НА ПХВ ""РИДДЕРСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" УЗ ВКО АКИМАТА",990440001750,,
120308,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР ПЕРВИЧНОЙ МЕДИКО-САНИТАРНОЙ ПОМОЩИ №1 ГОРОДА УСТЬ-КАМЕНОГОРСКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990440000850,,
120307,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областной детский санаторий ""Сарыагаш"" управления здравоохранения Туркестанской области",990740003281,,
120306,"ТОО""ЦЕНТР ГЛАЗА""",990940000214,,
120305,"ТОО ""Нефрос Азия""",990840013460,,
120301,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР МУА""",990840001704,,
120300,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №14"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ГОРОДА АЛМАТЫ",990840001447,,
120299,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АКЖАРСКАЯ РАЙОННАЯ БОЛЬНИЦА"" КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",990840001398,,
120298,"АЛМАТЫ ҚАЛАСЫ ҚОҒАМДЫҚ ДЕНСАУЛЫҚ БАСҚАРМАСЫНЫҢ ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ ""№25 ҚАЛАЛЫҚ ЕМХАНА"" КОММУНАЛДЫҚ МЕМЛЕКЕТТІК КӘСІПОРНЫ",990840000101,,
120296,"НУ СВА ""ИНТЕРТИЧ"" ГОРОДА АСТАНА",990740005565,,
120294,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская клиническая инфекционная больница имени И. Жекеновой"" Управления общественного здравоохранения города Алматы",990640001411,,
120292,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ГЛАЗА-АЙНА-КӨЗ""",990340009305,,
120291,"""ПРОФМЕД"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",990340007587,,
120290,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""КӘУСАР"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АЛМАТИНСКОЙ ОБЛАСТИ""",990340007488,,
120289,"ГКП на ПХВ ""Жанаозенская городская поликлиника № 1"" Управления здравоохранения Мангистауской области",990340007170,,
120287,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «ГОРОДСКАЯ ПОЛИКЛИНИКА №3» КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ «УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО- КАЗАХСТАНСКОЙ ОБЛАСТИ»,990340006618,,
120284,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «ТИМИРЯЗЕВСКАЯ РАЙОННАЯ БОЛЬНИЦА» КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ «УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ»,990340006370,,
120283,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОГО ОБЛАСТНОГО АКИМАТА",990340002516,,
120282,"ГКП ПХВ ""Областная многопрофильная больница"" УЗ акимата ЗКО",990340004949,,
120281,"ГКП ""ГОРОДСКАЯ ПОЛИКЛИНИКА №2"" НА ПХВ УЗ АКИМАТА ЗКО",990340004621,,
120278,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЭКИБАСТУЗСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",990340004532,,
120277,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",990340004473,,
120276,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №3"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990340004413,,
120274,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №4"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990340004126,,
120273,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АЙЫРТАУСКАЯ РАЙОННАЯ БОЛЬНИЦА"" КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",990340003534,,
120271,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКОЙ РОДИЛЬНЫЙ ДОМ №5"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",990340002863,,
120270,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 16"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ГОРОДА АЛМАТЫ",990340002645,,
120269,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ДЕТСКИЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""БАЛДАУРЕН"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",990340002635,,
120267,"КГП на ПХВ ""ЦПМСП №12 города Семей"" УЗ области Абай",990340002605,,
120266,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ МНОГОПРОФИЛЬНЫЙ ""ЦЕНТР ОНКОЛОГИИ И ХИРУРГИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990340002536,,
120264,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ КАРДИОЛОГИИ И ВНУТРЕННИХ БОЛЕЗНЕЙ""",990240008700,,
120263,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ ЦЕНТР ПО ПРОФИЛАКТИКЕ И БОРЬБЕ СО СПИД"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990340002506,,
120262,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ",990340002457,,
120261,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990340002427,,
120260,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЕ ПАТОЛОГОАНАТОМИЧЕСКОЕ БЮРО"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ",990340002398,,
120259,"КГП на ПХВ ""Шульбинская врачебная амбулатирия"" УЗ ОА",990340002358,,
120258,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА № 1 ГОРОДА СЕМЕЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ",990340002239,,
120257,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ,990340002219,,
120256,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР ГОРОДА СЕМЕЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",990340002010,,
120255,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР ЯДЕРНОЙ МЕДИЦИНЫ И ОНКОЛОГИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ",990340001924,,
120254,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ,990340001895,,
120253,Коммунальное государственное предприятие на праве хозяйственного ведения «Областная станция скорой медицинской помощи» управления здравоохранения области Абай,990340001885,,
120251,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОГО ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУСКАЯ ОБЛАСТНАЯ МНОГОПРОФИЛЬНАЯ ДЕТСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ",990340001375,,
120250,КГП на ПХВ «Городской перинатальный центр №2»,990340001042,,
120249,Коммунальное государственное предприятие на праве хозяйственного ведения «Центр первичной медико-санитарной помощи № 10 города Семей» управления здравоохранения области Абай,990340000758,,
120248,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУСКАЯ ОБЛАСТНАЯ МНОГОПРОФИЛЬНАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ",990340000301,,
120247,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №7"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ГОРОДА АЛМАТЫ",990340000242,,
120246,"""СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА ""ДЭНТА"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГI",990240009321,,
120245,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №3"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""",990240006258,,
120241,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙCТВЕННОГО ВЕДЕНИЯ ""КЫЗЫЛОРДИНСКИЙ ОБЛАСТНОЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",990240007731,,
120240,"""МАРАТ ОСПАНОВ АТЫНДАҒЫ БАТЫС ҚАЗАҚСТАН МЕДИЦИНА УНИВЕРСИТЕТІ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫ",990240007563,,
120238,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАХСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ОНКОЛОГИИ И РАДИОЛОГИИ""",990240007098,,
120237,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ХРОМТАУСКАЯ РАЙОННАЯ БОЛЬНИЦА"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""",990240006931,,
120236,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""УАЛИХАНОВСКАЯ РАЙОННАЯ БОЛЬНИЦА"" КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",990240006892,,
120235,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""РЕСПУБЛИКАНСКИЙ ЦЕНТР КРОВИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",990240006872,,
120234,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""МАРТУКСКАЯ РАЙОННАЯ БОЛЬНИЦА"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""",990240006713,,
120232,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «МНОГОПРОФИЛЬНАЯ ДЕТСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА» КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ «УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО - КАЗАХСТАНСКОЙ ОБЛАСТИ»,990240006189,,
